Member,Guild,"Rey (Jedi Training)","Veteran Smuggler Han Solo","Veteran Smuggler Chewbacca",BB-8,R2-D2,"Resistance Trooper","Commander Luke Skywalker","Han Solo","Captain Han Solo","Hoth Rebel Scout","Hoth Rebel Soldier",Pao,"General Veers","Colonel Starck",Shoretrooper,"Death Trooper",Snowtrooper,"Grand Admiral Thrawn","Chirrut Îmwe","Baze Malbus","Asajj Ventress","Mother Talzin","Old Daka",Talia,"Nightsister Acolyte","Nightsister Zombie","Home One",Endurance,Executrix,Chimaera
Rosen,"104th Bataillon",0,7,6,7,7,3,7,7,7,7,7,6,7,7,5,3,7,7,7,4,7,5,7,7,5,6,7,7,7,7,183
FuThis,"104th Bataillon",7,7,7,7,7,7,7,7,7,7,5,5,7,7,7,7,7,7,7,4,7,5,7,6,7,4,7,6,7,7,196
"Herold Blaster","442nd Bataillon",0,5,5,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,4,7,5,7,7,7,5,7,7,7,7,190
"BΛ McDuke","104th Bataillon",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,210
Buschi,"104th Bataillon",7,7,7,7,7,7,7,7,5,7,5,7,7,7,7,7,7,7,7,7,7,5,7,6,5,4,7,7,7,7,198
Algrunar,"104th Bataillon",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,5,0,3,7,6,6,7,191
"BΛ CyrusXS","104th Bataillon",0,7,7,7,7,7,7,7,7,7,7,7,7,7,5,3,7,7,7,4,7,5,7,7,3,5,7,7,6,7,185
"BΛ Hansoo","104th Bataillon",7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,5,7,7,7,5,7,7,6,7,203
"BΛ NΛDJΛ 4802","104th Bataillon",0,4,3,7,7,7,7,7,5,6,5,7,7,7,6,7,7,7,7,7,7,4,7,6,4,4,7,6,6,7,178
Fussel,"104th Bataillon",0,7,7,7,7,7,7,7,7,7,6,7,7,7,7,5,7,7,7,7,7,5,7,6,6,4,7,7,7,7,193
Tekman,"104th Bataillon",0,6,6,7,7,7,7,7,4,7,5,4,6,6,0,3,7,7,5,0,7,3,5,7,4,3,7,6,6,7,156
"Duc Nguyen","442nd Bataillon",0,5,5,7,7,7,7,7,5,6,5,2,7,7,7,5,7,7,7,7,7,4,7,6,5,5,7,6,6,7,177
AkiraFFM,"104th Bataillon",7,7,7,7,7,7,7,7,5,7,7,6,5,7,6,7,7,7,7,7,7,4,7,7,7,4,7,6,6,7,196
"BΛ RamJamRodigan","104th Bataillon",7,7,7,7,7,7,7,7,5,7,5,4,7,7,7,4,7,7,0,0,7,4,7,7,4,4,7,7,7,7,177
